serial,temp,status,genre,network,theme,runtime,tvdb_id
24,60,Ended,Thriller,FOX,"It is a thriller presented in 'real time' with each minute of airtime that corresponds to a minute in the lives of the characters. '24' employs fast-paced and complex stories, and often contains unexpected plot twists. Though each day's events typically involve investigation of leads on terrorists, tracking suspects, and averting attacks, each season is made up of various interwoven story threads. The exact objective of the day evolves over the course of the season as the antagonists adapt, contingencies arise, and larger scale operations unfold.",41.0,76290
Monk,60,Ended,Thriller,USA Network,"An ex-cop suffering from obsessive-compulsive disorder solves crimes with various (and usually exasperated) sidekicks. The 'defective detective' may have an abundance of phobias (heights, crowds, and even milk), but also razor-sharp deductive skills, which he uses to help the San Francisco police with especially baffling cases.",42.0,78490
Castle,60,Ended,Thriller,ABC,"Rick Castle is one of the world's most successful crime authors. But when his rock star lifestyle isn't enough, this bad boy goes looking for new trouble and finds it working with smart, beautiful Detective Kate Beckett. Inspired by her professional record and intrigued by her buttoned-up personality, Castle's found the model for his bold new character whether she likes it or not. Now with the mayor's permission, Castle is helping solve crime with his own twist.",42.0,83462
Friends,30,Ended,Comedy,NBC,"Six young people, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",24.0,79168
Homeland,60,Continuing,Thriller,Showtime,"Marine Sergeant Nicholas Brody returns home eight years, after going missing in Iraq. Carrie Mathison, a driven CIA officer, suspects he might be plotting an attack on America.",50.0,247897
Lie To Me,60,Ended,Thriller,FOX,"Dr. Cal Lightman, world's leading deception expert, has developed a revolutionary system using involuntary facial expressions and body language to determine if one is being truthful, dishonest or is hiding something. He honned his skills, working for British Intelligence, CIA and Pentagon. Now he runs a private consulting firm, 'Lightman Group' with Gillian Foster, Eli Loker and Ria Torres to work with government agencies, other groups and individuals, to help them solve mysteries, crimes or other job in which there's a need to determine if one is lying and to expose the truth behind the deception.",42.0,83602
House MD,60,Ended,Drama,FOX,"Hugh Laurie stars as the brilliant but sarcastic Dr. Gregory House, a maverick physician who is devoid of bedside manner. While his behavior can border on antisocial, Dr. House thrives on the challenge of solving the medical puzzles that other doctors give up on. Together with his hand-picked team of young medical experts, he'll do whatever it takes in the race against the clock to solve the case.",44.0,73255
Modern Family,30,Continuing,Comedy,ABC,"This mockumentary explores the many different types of a modern family through the stories of a gay couple, comprised of Mitchell and Cameron, and their daughter Lily, a straight couple, comprised of Phil and Claire, and their three kids, Haley, Alex, and Luke, and a multi-ethnic couple, which is comprised of Jay and Gloria, and her son Manny.",21.0,95011
Once Upon A Time,60,Continuing,Drama,ABC,"It revolves around Emma Swan, a 28-year-old bail bonds collector that has been supporting herself from when she was abandoned as a baby. Things change for her when her son Henry, who she gave up for adoption years ago, finds her and tells that he needs her help. He tells that she is really from a different world where she is Snow White's missing daughter. He shows that in the fairytale books, Prince Charming and Snow White sent her away to protect her. The Evil Queen cast a spell that trapped the fairytale world. Emma doesn't believe him and takes Henry back to Storybrooke....",42.0,248835
How I Met Your Mother,30,Ended,Comedy,CBS,"It is a comedy about Ted and how he fell in love. It all started when Ted's best friend, Marshall, dropped the bombshell that he was going to propose to his longtime girlfriend, Lily, a kindergarten teacher. At that moment, Ted realized that he had better get a move on if he, too, hopes to find true love. Helping him in his quest is his friend Barney, a confirmed bachelor with endless, sometimes outrageous opinions, a penchant for suits and a foolproof way to meet women. When Ted meets Robin, he's sure it's love at first sight, but destiny has something else in store.",21.0,75760
Seinfeld,30,Ended,Comedy,NBC,"Jerry Seinfeld is a very successful stand-up comedian. The people around him offer an endless supply of great material. His best friend is George Costanza, a bald, whiny loser who craves the kind of success Jerry has but is never willing to do what it takes to get it. Jerry's neighbor Kramer often barges into his apartment and imposes onto his life. Jerry's former girlfriend Elaine Benes comes back into his life, and the four of them are able to form a friendship together. The episodes focus  on mundane conversations and situations that could be found during everyday life in New York.",22.0,79169
White Collar,60,Ended,Thriller,USA Network,"It is about the unlikely partnership of a con artist and an FBI agent who have been playing cat and mouse for years. Neal Caffrey, a charming criminal mastermind, is finally caught by his nemesis, FBI Agent Peter Burke. When Neal escapes from a maximum-security prison to find his lost love, Peter nabs him once again. Rather than returning to jail, Neal suggests an alternative plan: He'll provide his criminal expertise to assist the Feds in catching other elusive criminals. Initially wary, Peter quickly finds that Neal provides insight and intuition that can't be found on the right side of the law.",43.0,108611
Sherlock,90,Ended,Thriller,BBC One,"Sherlock depicts 'consulting detective' Holmes, assisting the Metropolitan Police Service, primarily DI Greg Lestrade, in solving various crimes. Holmes is assisted by his flatmate, Dr John Watson, who has returned from military service in Afghanistan. Although the series depicts a variety of crimes and perpetrators, Holmes' conflict with his archnemesis Jim Moriarty is a recurring feature.",90.0,176941
The Big Bang Theory,30,Continuing,Comedy,CBS,"Leonard Hofstadter and Sheldon Cooper are brilliant physicists, the kind of 'beautiful minds' that understand how the universe works. But none of that genius helps them interact with people, especially women. All begins to change when a free-spirited beauty named Penny moves in next door. Sheldon, Leonard's roommate, is quite content spending his nights playing Klingon Boggle with their socially dysfunctional friends, fellow CalTech scientists Howard Wolowitz and Raj Koothrappali. However, Leonard sees in Penny a whole new universe of possibilities... including love.",21.0,80379
Tintin,30,Ended,Animation,France 3,"The Adventures of Tintin is an animated television series based on The Adventures of Tintin, a series of books by Herge. It debuted in 1991, and 39 half-hour episodes were produced over the course of three seasons.",22.0,72668
